ranking,seasonId,seasonName,tournamentId,tournamentRegionId,tournamentRegionCode,regionCode,tournamentName,tournamentShortName,firstName,lastName,playerId,isActive,isOpta,teamId,teamName,playedPositions,age,height,weight,positionText,apps,subOn,minsPlayed,rating,tacklePerGame,interceptionPerGame,foulsPerGame,offsideWonPerGame,clearancePerGame,wasDribbledPerGame,outfielderBlockPerGame,goalOwn,name,date,,,
258,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Aaron,Hughes,1742,FALSE,TRUE,170,Fulham,-DC-DR-,35,183,71,Defender,13,2,1064,6.754615385,0.846153846,1.307692308,0.153846154,0.153846154,8.769230769,0.153846154,1,1,Aaron Hughes,1/1/2014,,,
275,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Aaron,Lennon,5625,TRUE,TRUE,30,Tottenham,-AML-AMR-,27,165,63,Midfielder,27,1,2199,6.724814815,1.296296296,0.62962963,0.37037037,0,0.333333333,0.592592593,0.074074074,0,Aaron Lennon,1/1/2014,,,
509,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Aaron,McLean,19401,FALSE,TRUE,214,Hull,None,31,171,77,Forward,1,1,6,6.17,1,0,0,0,0,0,0,0,Aaron McLean,1/1/2014,,,
7,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Aaron,Ramsey,26820,TRUE,TRUE,13,Arsenal,-MC-MR-,23,177,70,Midfielder,23,3,1771,7.753478261,3.347826087,1,1.173913043,0.043478261,0.695652174,1.608695652,0.130434783,0,Aaron Ramsey,1/1/2014,,,
468,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Aaron,Wilbraham,353,FALSE,TRUE,162,Crystal Palace,None,35,191,72,Forward,4,3,82,6.31,0,0,0.75,0,1,0.25,0,0,Aaron Wilbraham,1/1/2014,,,
122,3853,2013/2014,2,252,gb,sn,Premier League,EPL,Abdoulaye,Faye,8966,TRUE,TRUE,214,Hull,-DC-,36,188,87,Defender,3,0,270,7.026666667,1.333333333,0.666666667,0,0.333333333,5.666666667,0.666666667,1.333333333,0,Abdoulaye Faye,1/1/2014,,,
524,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Adam,Armstrong,136460,TRUE,TRUE,23,Newcastle United,None,17,172,69,Forward,4,4,30,6.1025,0,0.25,0,0,0,0,0,0,Adam Armstrong,1/1/2014,,,
204,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Adam,Johnson,14269,TRUE,TRUE,16,Sunderland,-AML-AMR-,27,175,63,Midfielder,36,8,2461,6.852222222,0.5,0.5,0.444444444,0,0.388888889,0.388888889,0,0,Adam Johnson,1/1/2014,,,
50,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Adam,Lallana,21683,FALSE,TRUE,18,Southampton,-AMC-AML-AMR-,26,173,73,Midfielder,38,1,3119,7.235789474,1.5,0.973684211,0.868421053,0,0.605263158,1.105263158,0.052631579,0,Adam Lallana,1/1/2014,,,
306,3853,2013/2014,2,252,gb,ma,Premier League,EPL,Adel,Taarabt,24642,FALSE,TRUE,170,Fulham,-AMC-AML-AMR-FW-,25,180,69,Midfielder,12,5,599,6.673333333,0.25,0.083333333,0.25,0,0,0.25,0.083333333,0,Adel Taarabt,1/1/2014,,,
