ranking,regionCode,firstName,lastName,teamId,teamName,age,height,weight,positionText,apps,minsPlayed,rating,goal,assistTotal,shotsPerGame,keyPassPerGame,dribbleWonPerGame,foulGivenPerGame,offsideGivenPerGame,dispossessedPerGame,turnoverPerGame,name,date,,,
6,wls,Aaron,Ramsey,13,Arsenal,23,177,70,Midfielder,23,1771,7.779565217,10,8,2.173913043,1.391304348,1.304347826,1.086956522,0.086956522,1.304347826,0.826086957,Aaron Hughes,1/1/2014,,,
258,nir,Aaron,Hughes,170,Fulham,35,183,71,Defender,13,1064,6.754615385,0,0,0,0,0.384615385,0.461538462,0,0.076923077,0.307692308,Aaron Lennon,1/1/2014,,,
276,eng,Aaron,Lennon,30,Tottenham,27,165,63,Midfielder,27,2199,6.724814815,1,3,0.925925926,1.37037037,1.111111111,0.851851852,0.074074074,1.555555556,0.814814815,Aaron McLean,1/1/2014,,,
468,eng,Aaron,Wilbraham,162,Crystal Palace,35,191,72,Forward,4,82,6.31,0,0,0.75,0.25,0.5,0.25,0.75,1,0.5,Aaron Ramsey,1/1/2014,,,
509,eng,Aaron,McLean,214,Hull,31,171,77,Forward,1,6,6.17,0,0,0,0,0,0,0,0,0,Aaron Wilbraham,1/1/2014,,,
122,sn,Abdoulaye,Faye,214,Hull,36,188,87,Defender,3,270,7.026666667,0,0,1,0.333333333,0,0,0,0,0,Abdoulaye Faye,1/1/2014,,,
204,eng,Adam,Johnson,16,Sunderland,27,175,63,Midfielder,36,2461,6.852222222,8,5,1.555555556,1.75,1.166666667,0.861111111,0.138888889,1.138888889,1.027777778,Adam Armstrong,1/1/2014,,,
50,eng,Adam,Lallana,18,Southampton,26,173,73,Midfielder,38,3119,7.235789474,9,5,1.842105263,1.868421053,1.842105263,2,0.421052632,2.447368421,2.368421053,Adam Johnson,1/1/2014,,,
524,eng,Adam,Armstrong,23,Newcastle United,17,172,69,Forward,4,30,6.1025,0,0,0.25,0.25,0,0.5,0,0,0,Adam Lallana,1/1/2014,,,
307,ma,Adel,Taarabt,170,Fulham,25,180,69,Midfielder,12,599,6.673333333,0,1,2.416666667,0.583333333,2.25,1.583333333,0.166666667,2.083333333,0.833333333,Adel Taarabt,1/1/2014,,,
458,dz,Adlène,Guédioura,162,Crystal Palace,29,183,74,Midfielder,8,321,6.35125,0,0,1.625,0.5,0.625,0.5,0,1.375,0.75,Adnan Januzaj,1/1/2014,,,
149,be,Adnan,Januzaj,32,Manchester United,19,180,75,Midfielder,27,1648,6.957407407,4,3,1.740740741,1.148148148,1.888888889,2.222222222,0.111111111,2.074074074,2.037037037,Adrian Mariappa,1/1/2014,,,
130,jm,Adrian,Mariappa,162,Crystal Palace,28,180,70,Defender,24,2114,7.004583333,1,1,0.208333333,0.291666667,0.25,0.708333333,0.041666667,0.208333333,0.583333333,Ahmed Elmohamady,1/1/2014,,,
209,es,Adrián,San Miguel del Castillo,29,West Ham,27,190,80,Goalkeeper,20,1800,6.8415,0,0,0,0.1,0,0.25,0,0,0,Aiden McGeady,1/1/2014,,,
132,eg,Ahmed,Elmohamady,214,Hull,27,180,81,Midfielder,38,3334,7.000789474,2,2,0.5,1.105263158,1.105263158,0.763157895,0.078947368,0.710526316,0.763157895,Alejandro Pozuelo Melero,1/1/2014,,,
391,ie,Aiden,McGeady,31,Everton,28,178,72,Midfielder,16,475,6.513125,0,1,0.625,0.375,1.4375,0.1875,0.0625,0.5625,0.5625,Aleksandar Kolarov,1/1/2014,,,
440,es,Alejandro,Pozuelo Melero,259,Swansea,23,170,63,Midfielder,22,874,6.385454545,0,1,0.681818182,0.954545455,0.636363636,0.772727273,0,1.909090909,1,Aleksandar Tonev,1/1/2014,,,
482,bg,Aleksandar,Tonev,24,Aston Villa,24,176,70,Midfielder,17,601,6.25,0,0,1.411764706,0.117647059,0.470588235,0.294117647,0.058823529,0.411764706,0.529411765,Alex Bruce,1/1/2014,,,
87,rs,Aleksandar,Kolarov,167,Manchester City,29,187,83,Defender,30,1973,7.118333333,1,7,1.733333333,1.166666667,0.733333333,1.2,0.066666667,0.466666667,0.7,Alex Oxlade-Chamberlain,1/1/2014,,,
319,ie,Alex,Bruce,214,Hull,30,180,73,Defender,20,1602,6.6535,0,0,0.5,0.15,0,0.1,0,0.05,0.15,Alex Pritchard,1/1/2014,,,
361,eng,Alex,Oxlade-Chamberlain,13,Arsenal,21,180,70,Midfielder,14,527,6.57,2,2,1.285714286,0.428571429,1.5,0.714285714,0.071428571,0.714285714,1.214285714,Alexander Buttner,1/1/2014,,,
539,eng,Alex,Pritchard,30,Tottenham,21,171,62,Midfielder,1,7,6.04,0,0,0,0,0,0,0,0,0,Alexander Kacaniklic,1/1/2014,,,
290,no,Alexander,Tettey,168,Norwich,28,180,68,Midfielder,21,1494,6.705238095,1,0,0.666666667,0.666666667,0.428571429,0.571428571,0,0.571428571,0.619047619,Alexander Tettey,1/1/2014,,,
338,nl,Alexander,Buttner,32,Manchester United,25,174,75,Defender,8,497,6.62125,0,0,0.625,0.375,0.625,1,0,0.75,0.625,Allan McGregor,1/1/2014,,,
416,se,Alexander,Kacaniklic,170,Fulham,23,180,66,Midfielder,23,1311,6.461304348,1,0,0.826086957,0.956521739,0.869565217,1.043478261,0.130434783,1.260869565,0.782608696,Alou Diarra,1/1/2014,,,
408,sct,Allan,McGregor,214,Hull,32,183,74,Goalkeeper,26,2297,6.485769231,0,0,0,0,0,0.192307692,0,0.038461538,0,Aly Cissokho,1/1/2014,,,
483,fr,Alou,Diarra,29,West Ham,33,190,79,Midfielder,3,114,6.243333333,0,0,0.666666667,0.333333333,0,0,0,0,0,Anders Lindegaard,1/1/2014,,,
201,es,Álvaro,Negredo,167,Manchester City,29,186,86,Forward,32,1741,6.8559375,9,3,2.0625,1.03125,0.34375,0.5,0.40625,0.9375,1.28125,Anderson Oliveira,1/1/2014,,,
516,es,Álvaro,Vázquez García,259,Swansea,23,182,71,Forward,12,414,6.134166667,0,1,0.75,0.416666667,0.083333333,0.333333333,0.583333333,0.416666667,1.166666667,Andre Wisdom,1/1/2014,,,
142,fr,Aly,Cissokho,26,Liverpool,27,181,75,Defender,15,1091,6.979333333,0,1,0.333333333,0.533333333,0.733333333,0.6,0.066666667,0.333333333,0.8,Andrea Dossena,1/1/2014,,,
5,dk,Anders,Lindegaard,32,Manchester United,30,193,80,Goalkeeper,1,90,7.82,0,0,0,0,0,0,0,0,0,Andreas Cornelius,1/1/2014,,,
397,br,Anderson,Oliveira,32,Manchester United,26,176,69,Midfielder,4,158,6.5025,0,0,0.5,1,0.25,0.25,0.25,1,0.5,Andreas Weimann,1/1/2014,,,
473,eng,Andre,Wisdom,26,Liverpool,21,186,78,Defender,2,82,6.275,0,0,1,0,0.5,0,0,1.5,1,Andrew Taylor,1/1/2014,,,
178,de,André,Schürrle,15,Chelsea,24,183,72,Midfielder,30,1343,6.891,8,2,1.9,0.966666667,0.633333333,0.433333333,0.533333333,0.6,1.2,Andros Townsend,1/1/2014,,,
475,it,Andrea,Dossena,16,Sunderland,33,181,77,Defender,7,537,6.27,0,0,0.571428571,0.714285714,0,0.285714286,0,0.142857143,0.428571429,Andy Carroll,1/1/2014,,,
355,at,Andreas,Weimann,24,Aston Villa,23,188,76,Forward,37,2680,6.588108108,5,4,1.837837838,0.918918919,0.459459459,0.621621622,0.108108108,0.810810811,0.891891892,Andy Wilkinson,1/1/2014,,,
533,dk,Andreas,Cornelius,188,Cardiff,21,192,89,Forward,8,107,6.07125,0,0,0.5,0,0,0.25,0,0.5,0.625,Angel Rangel,1/1/2014,,,
413,eng,Andrew,Taylor,188,Cardiff,28,178,69,Defender,18,1576,6.465555556,0,0,0.277777778,0.555555556,0.111111111,0.555555556,0,0.611111111,0.333333333,Anthony Pilkington,1/1/2014,,,
170,eng,Andros,Townsend,30,Tottenham,23,181,81,Midfielder,25,1231,6.91,1,0,2.24,1.08,2.72,1.16,0.04,1.36,1.16,Antolin Alcaraz,1/1/2014,,,
489,eng,Andy,Wilkinson,96,Stoke,30,180,69,Defender,5,275,6.238,0,0,0.2,0,0,0.4,0,0.2,1,Antonio Luna,1/1/2014,,,
51,eng,Andy,Carroll,29,West Ham,25,193,79,Forward,15,1129,7.232,2,4,3.4,1,0.266666667,1.533333333,0.4,1.466666667,2.533333333,Antonio Nocerino,1/1/2014,,,
